City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Key West,US,93.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
555,Inuvik,CA,70.56,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
556,Bubaque,GW,78.22,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
558,Ardesen,TR,73.36,few clouds,41.1911,40.9875,Green Suada Hotel
559,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
561,Luganville,VU,81.03,few clouds,-15.5333,167.1667,The Espiritu Hotel
564,Lethem,GY,72.73,overcast clouds,3.3803,-59.7968,Savannah Inn
567,Bang Saphan,TH,78.84,light rain,11.2126,99.5117,Ladawan Boutique Hotel
569,Douentza,ML,88.56,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
573,Dhidhdhoo,MV,82.92,scattered clouds,6.8833,73.1,Dhidhoo beach
575,Santo Antonio Do Taua,BR,78.75,heavy intensity rain,-1.1519,-48.1294,Pousada Magno
578,Santa Cruz De Tenerife,ES,75.72,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
581,Vanimo,PG,79.77,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
584,Banda Aceh,ID,81.43,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
585,Iwaki,JP,82.76,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
587,Anito,PH,83.17,overcast clouds,12.4497,125.2886,The Yellow House
589,Akdepe,TM,71.69,few clouds,42.0551,59.3788,Мой дом
590,La Romana,DO,88.16,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
596,Cao Bang,VN,76.66,overcast clouds,22.6667,106.25,khách sạn 88
605,Pimenta Bueno,BR,70.29,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
606,Preobrazheniye,RU,76.73,overcast clouds,42.9019,133.9064,Campsite Orlan
607,Tamiahua,MX,86.5,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
610,Great Falls,US,94.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
611,Qinzhou,CN,82.22,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
612,Jalu,LY,81.59,clear sky,29.0331,21.5482,صاحبة الفخامة
613,Syracuse,IT,88.9,clear sky,37.0881,15.2792,Hotel Posta
616,Santo Antonio Do Ica,BR,77.86,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
617,Wanning,CN,80.58,overcast clouds,18.8003,110.3967,Paradise Hotel
618,Muli,MV,81.63,broken clouds,2.9167,73.5667,Medhufushi Island Resort
619,Garden City,US,87.75,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
622,Carupano,VE,76.28,overcast clouds,10.6678,-63.2585,Hotel La dorada
624,Hamilton,US,86.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
626,Muroto,JP,78.84,clear sky,33.2833,134.15,Oota Ryokan
631,Westport,US,74.98,moderate rain,41.1415,-73.3579,The Westport Inn
633,Batticaloa,LK,79.52,overcast clouds,7.7102,81.6924,Grand Star Guest House
634,Moroni,KM,74.43,clear sky,-11.7022,43.2551,Hotel les Arcades
635,Ryotsu,JP,80.56,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
637,Koutiala,ML,74.25,overcast clouds,12.3917,-5.4642,Hotel Campement Poule Verte
638,Viesca,MX,89.37,scattered clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
640,Terre Haute,US,88.45,broken clouds,39.4667,-87.4139,Drury Inn & Suites Terre Haute
643,Piacabucu,BR,72.77,clear sky,-10.4056,-36.4344,Piaçabuçu News
644,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
646,Meadow Lake,US,92.68,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
